source,path,suffix,category,cyrillic_share,words,bytes,factor,heuristic_tokens,sha256
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q0-qualification-baseline\README.md,.md,cyrillic,0.7009,3438,38349,2.2,7564,b4703fd189596c597bd9dc5d200675a4ea80b7a7952c1806529904d25234b7de
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q4-analyze-routing\1-AUDIT.md,.md,en,0.0,1051,7014,1.3,1367,9d65922bcf17eb92f80555b3ba6c1e8df180512af97add88a788145745d5b1d6
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q4-analyze-routing\2-DECOMPOSE.md,.md,en,0.0,673,4291,1.3,875,d646511bba59803967f0d2007b746de0cf5979cf51ccf1eecfdf5c9791ffac33
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q4-analyze-routing\3-EXECUTE.md,.md,en,0.0,594,3582,1.3,773,2d9018d31372d2189a6eaa3d58570750b80333705ff6b2e310b1535d7b0b8a30
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q6-fuse-back\1-AUDIT.md,.md,en,0.0,1077,7154,1.3,1401,fb8e5eefa717e15b6f403198de518667a2fad32b2640817104275ee5264ca1cd
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q6-fuse-back\2-DECOMPOSE.md,.md,en,0.0,672,4363,1.3,874,51574a3a9c18705bf124c66faab1e41fa2d532d5ee914b891f856ec463e2c92b
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q6-fuse-back\3-EXECUTE.md,.md,en,0.0,642,3885,1.3,835,3efe1a0ade984bfe2a135874967d6a10f48475e71d5e82d10cc209b187fe6eba
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\README.md,.md,cyrillic,0.7939,4046,49321,2.2,8902,9f775e0b4cf360296a4d30b10c60a79d9fbab023a475d1ce0cd18796d383784e
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\REVISION-aw.md,.md,cyrillic,0.6484,449,5131,2.2,988,60484370f265270b12635e4efdf6152164ee964eb09bf439322e28fe4becc580
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\tokenizer-calibration\TASK.md,.md,en,0.0,1377,11293,1.3,1791,dffccb0173bbb32c96db594f633a9e8750829a383a2a7768cd33991ce8d3ff37
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\bench.md,.md,en,0.0,134,1238,1.3,175,c3c534e9bfd035619b27d59c5b67e00b311e66b33e77a3435003da68a47cf2c8
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\bench.ru.md,.md,cyrillic,0.5363,126,1750,2.2,278,e733de8bf40e1603384e1b55eaaa81c71445bc95ff342ec9ac1865a24e18be4a
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\context-model.md,.md,cyrillic,0.0011,1133,9322,2.2,2493,69cfbf3efdc412ff299331c082547fdc042041fd6b9663fda0751f1c78f40c16
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\context-model.ru.md,.md,cyrillic,0.6542,998,13253,2.2,2196,13b1bfa96843b7916a0721178f1763af7f992fb93f3b39468475385887f74eb7
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\artifact-writer.md,.md,en,0.0,717,5860,1.3,933,ef1bf7fc5a5ba137fcb9d3ed52dc58bdef4c50558bd1706e624ab89dc0fa8e28
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\artifact-writer.ru.md,.md,cyrillic,0.5037,697,8110,2.2,1534,bf3ac2972c93326047a82c3e5c254b871bbdccb6eee546130ac058d3aa0eb827
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\board-snapshot.md,.md,cyrillic,0.0014,1092,7677,2.2,2403,0b5e9066f47f61b6d90fc495203234bad42e1c63ee33b2c2ac1dfcfdb7c4f48a
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\board-snapshot.ru.md,.md,cyrillic,0.6368,488,5062,2.2,1074,dd7c4829dc8521a192de6ecdf3f446c560d7d2fa6bc9ca27c120113ad3445581
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\halt.md,.md,cyrillic,0.0019,849,5431,2.2,1868,c141ea98a1523480a4fb074f4bc8ee133c79b5aa2b9f05c68f7fc04bf839c38a
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\halt.ru.md,.md,cyrillic,0.5119,321,3250,2.2,707,5ce9b83b28f192dad41f968eadae5fde0cad1bf216c0096bf1bba434d647e34e
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\leash.md,.md,cyrillic,0.0016,887,6047,2.2,1952,0bd6a147dadb8c2430049f7d2eacc0fbe660a33bb2ea60ef41ae23c12d66db0c
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\leash.ru.md,.md,cyrillic,0.5604,445,4583,2.2,980,0b5184d93d375c5707c0c1c63cf1aae5df536cc8c1f3c366de1e2b7240fa4a3d
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\core-and-worker.md,.md,cyrillic,0.007,547,3401,2.2,1204,50a60663843103d93c8e1ae366aff611aaa1d85e1127713e2b1247ffd02c24b9
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\core-and-worker.ru.md,.md,cyrillic,0.6179,470,4765,2.2,1034,ca80603c9abc1676595d8b550a4a459744f5a4a4a7d0bf1c55f4e37896e34c05
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\README.md,.md,cyrillic,0.0022,562,4935,2.2,1237,200df8edc16499a20f0b0102bbb6d8265383725a0adafe02250036b09bc00df2
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\README.ru.md,.md,cyrillic,0.3884,536,6010,2.2,1180,c0c6731856a1988731b87656e3693c5378f46a061b526a0b4192c65b2d12fa51
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\roles.md,.md,cyrillic,0.0013,1151,7915,2.2,2533,942a675b407f05ce59916c6290c604d24e230c9e00676b7638e26dbff8238035
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\roles.ru.md,.md,cyrillic,0.7021,1091,12327,2.2,2401,06a365fa2a4fb41ee8fba54b8d5c57cb4d670e0336ac9289fdb7b136cc91fd67
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\small-llm-contract.md,.md,cyrillic,0.0025,536,3845,2.2,1180,3630be44ff9c05171db9e1cd96a7b45fbf9742cb1e242e86e78c0b1a9abfa7ca
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\small-llm-contract.ru.md,.md,cyrillic,0.7174,470,5831,2.2,1034,14eada90061e5af9ddb9f9ce77a74904ae9f6b919552d6485451347312ffa5ac
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\state-machine.md,.md,cyrillic,0.0009,1477,11235,2.2,3250,a37708cd0181c32e52f61b571ea6c77a290e46dc141f374542060efe563f812b
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\state-machine.ru.md,.md,cyrillic,0.637,1247,16562,2.2,2744,f32213200cfb783596db0211a75be8f4f5c69d4d75b8ebe8f643bee31f6c6c76
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\testing-strategy.md,.md,cyrillic,0.4521,2241,25420,2.2,4931,8363bd5421832cd0d67fed8b1f5473be661871b964b8153c318c55bf864f53f9
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\using.md,.md,cyrillic,0.0007,1868,14040,2.2,4110,33f1aa2a148945dbbf311ded3c5e3d29feeae4b81accde68b34d7c2f6cce17a2
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\using.ru.md,.md,cyrillic,0.4868,1659,18978,2.2,3650,d4bb1b13014d8990d95fae472baa8130a289376f9699a102feef55779c18c7f8
