source,path,suffix,category,cyrillic_share,words,bytes,tokenizer,tokens,tokens_per_word,tokens_per_kbyte,heuristic_tokens
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q0-qualification-baseline\README.md,.md,cyrillic,0.7009,3438,38349,qwen3.8,8272,2.4061,215.703,7564
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q4-analyze-routing\1-AUDIT.md,.md,en,0.0,1051,7014,qwen3.8,1658,1.5775,236.384,1367
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q4-analyze-routing\2-DECOMPOSE.md,.md,en,0.0,673,4291,qwen3.8,1121,1.6657,261.244,875
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q4-analyze-routing\3-EXECUTE.md,.md,en,0.0,594,3582,qwen3.8,926,1.5589,258.515,773
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q6-fuse-back\1-AUDIT.md,.md,en,0.0,1077,7154,qwen3.8,1666,1.5469,232.877,1401
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q6-fuse-back\2-DECOMPOSE.md,.md,en,0.0,672,4363,qwen3.8,1105,1.6443,253.266,874
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\q6-fuse-back\3-EXECUTE.md,.md,en,0.0,642,3885,qwen3.8,956,1.4891,246.075,835
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\README.md,.md,cyrillic,0.7939,4046,49321,qwen3.8,9358,2.3129,189.737,8902
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\REVISION-aw.md,.md,cyrillic,0.6484,449,5131,qwen3.8,1091,2.4298,212.629,988
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\backlog\roadmap\tokenizer-calibration\TASK.md,.md,en,0.0,1377,11293,qwen3.8,3143,2.2825,278.314,1791
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\bench.md,.md,en,0.0,134,1238,qwen3.8,300,2.2388,242.326,175
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\bench.ru.md,.md,cyrillic,0.5363,126,1750,qwen3.8,363,2.881,207.429,278
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\context-model.md,.md,cyrillic,0.0011,1133,9322,qwen3.8,2130,1.88,228.492,2493
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\context-model.ru.md,.md,cyrillic,0.6542,998,13253,qwen3.8,2430,2.4349,183.355,2196
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\artifact-writer.md,.md,en,0.0,717,5860,qwen3.8,1556,2.1702,265.529,933
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\artifact-writer.ru.md,.md,cyrillic,0.5037,697,8110,qwen3.8,1821,2.6126,224.538,1534
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\board-snapshot.md,.md,cyrillic,0.0014,1092,7677,qwen3.8,2114,1.9359,275.368,2403
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\board-snapshot.ru.md,.md,cyrillic,0.6368,488,5062,qwen3.8,1053,2.1578,208.021,1074
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\halt.md,.md,cyrillic,0.0019,849,5431,qwen3.8,1534,1.8068,282.453,1868
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\halt.ru.md,.md,cyrillic,0.5119,321,3250,qwen3.8,728,2.2679,224.0,707
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\leash.md,.md,cyrillic,0.0016,887,6047,qwen3.8,1623,1.8298,268.398,1952
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\leash.ru.md,.md,cyrillic,0.5604,445,4583,qwen3.8,933,2.0966,203.578,980
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\core-and-worker.md,.md,cyrillic,0.007,547,3401,qwen3.8,865,1.5814,254.337,1204
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\core-and-worker.ru.md,.md,cyrillic,0.6179,470,4765,qwen3.8,938,1.9957,196.852,1034
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\README.md,.md,cyrillic,0.0022,562,4935,qwen3.8,1211,2.1548,245.39,1237
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\README.ru.md,.md,cyrillic,0.3884,536,6010,qwen3.8,1298,2.4216,215.973,1180
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\roles.md,.md,cyrillic,0.0013,1151,7915,qwen3.8,1894,1.6455,239.292,2533
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\roles.ru.md,.md,cyrillic,0.7021,1091,12327,qwen3.8,2412,2.2108,195.668,2401
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\small-llm-contract.md,.md,cyrillic,0.0025,536,3845,qwen3.8,951,1.7743,247.334,1180
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\small-llm-contract.ru.md,.md,cyrillic,0.7174,470,5831,qwen3.8,1107,2.3553,189.847,1034
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\state-machine.md,.md,cyrillic,0.0009,1477,11235,qwen3.8,2683,1.8165,238.807,3250
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\state-machine.ru.md,.md,cyrillic,0.637,1247,16562,qwen3.8,2922,2.3432,176.428,2744
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\testing-strategy.md,.md,cyrillic,0.4521,2241,25420,qwen3.8,5876,2.622,231.157,4931
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\using.md,.md,cyrillic,0.0007,1868,14040,qwen3.8,3237,1.7329,230.556,4110
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\using.ru.md,.md,cyrillic,0.4868,1659,18978,qwen3.8,3624,2.1844,190.958,3650
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\workflow.md,.md,cyrillic,0.0015,2460,18951,qwen3.8,4658,1.8935,245.792,5412
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\workflow.ru.md,.md,cyrillic,0.6489,2533,30995,qwen3.8,5800,2.2898,187.127,5573
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\capability.descriptor.yaml,.yaml,yaml,0.0,26,325,qwen3.8,86,3.3077,264.615,117
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\change.descriptor.yaml,.yaml,yaml,0.0,53,515,qwen3.8,153,2.8868,297.087,239
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\coverage.descriptor.yaml,.yaml,yaml,0.0,24,299,qwen3.8,80,3.3333,267.559,108
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\decision.descriptor.yaml,.yaml,yaml,0.0,52,472,qwen3.8,155,2.9808,328.39,234
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\evidence.descriptor.yaml,.yaml,yaml,0.0,50,498,qwen3.8,143,2.86,287.149,225
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\lock.descriptor.yaml,.yaml,yaml,0.0,24,302,qwen3.8,81,3.375,268.212,108
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\manifest.json,.json,yaml,0.0,100,1391,qwen3.8,386,3.86,277.498,450
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\receipt.schema.yaml,.yaml,yaml,0.0,166,1797,qwen3.8,536,3.2289,298.275,747
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\routing.descriptor.yaml,.yaml,yaml,0.0,28,325,qwen3.8,91,3.25,280.0,126
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\slice.descriptor.yaml,.yaml,yaml,0.0,61,596,qwen3.8,177,2.9016,296.98,275
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\spec-delta.descriptor.yaml,.yaml,yaml,0.0,43,430,qwen3.8,130,3.0233,302.326,194
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\task.descriptor.yaml,.yaml,yaml,0.0,69,641,qwen3.8,198,2.8696,308.892,311
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\capability.schema.yaml,.yaml,yaml,0.0,153,2162,qwen3.8,489,3.1961,226.179,689
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\change.schema.yaml,.yaml,yaml,0.0,292,3176,qwen3.8,923,3.161,290.617,1314
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\coverage.schema.yaml,.yaml,yaml,0.0,114,1467,qwen3.8,385,3.3772,262.44,513
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\decision.schema.yaml,.yaml,yaml,0.0,119,1190,qwen3.8,361,3.0336,303.361,536
